,Name,State_District,Year,Founder,Reason_for_establishment,Website
18,Mountain Railways of India,Multiple states (Darjeeling, Nilgiri, Kalka-Shimla),Various,British colonial authorities,Historic mountain railways,https://whc.unesco.org/en/list/944/
19,Mahabodhi Temple Complex,Bihar,3rd century BCE - 5th century CE,Emperor Ashoka,Site of Buddha's enlightenment,https://whc.unesco.org/en/list/1056/
20,Champaner-Pavagadh Archaeological Park,Gujarat,8th - 14th centuries,Various rulers,Historic city and fortifications,https://whc.unesco.org/en/list/1101/
21,Churches and Convents of Goa,Goa,16th - 18th centuries,Portuguese colonial authorities,Religious and architectural significance,https://whc.unesco.org/en/list/234/
22,Jantar Mantar,Rajasthan,1724 - 1730,Maharaja Sawai Jai Singh II,Astronomical observatories,https://en.wikipedia.org/wiki/Jantar_Mantar,_New_Delhi
23,Great Himalayan National Park,Himachal Pradesh,1984,Government of India,Biodiversity conservation,https://whc.unesco.org/en/list/1406/
24,Valley of Flowers National Park,Uttarakhand,1982,Government of India,Alpine valley with diverse flora,https://uttarakhandtourism.gov.in/destination/valley-of-flowers
25,Khangchendzonga National Park,Sikkim,1977,Government of India,Conservation of diverse ecosystems,https://whc.unesco.org/en/list/1513/
26,Sun Temple Konark,Odisha,Puri district,13th century,King Narasimhadeva I,Devotion to the sun god Surya,https://whc.unesco.org/en/list/246/
27,Archaeological Site of Nalanda Mahavihara (Nalanda University),Bihar,5th century CE,Various Buddhist emperors,Ancient center of learning,https://whc.unesco.org/en/list/1502/
28,Kaziranga National Park,Assam,Nagaon district,1905,Lord Curzon,Conservation of one-horned Indian rhinoceros,https://www.kaziranga-national-park.com/
29,Manas Wildlife Sanctuary,Assam,Chirang district,1928,The Bodos and the Cooch Behar royal family,Conservation of biodiversity and endangered species,https://whc.unesco.org/en/list/338/
30,Group of Monuments at Pattadakal,Karnataka,Bagalkot district,7th and 8th centuries,Chalukya dynasty,Religious and artistic significance,https://whc.unesco.org/en/list/239/
31,Rock Shelters of Bhimbetka,Madhya Pradesh,Upper Paleolithic to medieval period,Various prehistoric communities,Rock art and archaeological significance,https://whc.unesco.org/en/list/925/
32,Elephanta Caves,Maharashtra,5th - 6th centuries,Various dynasties,Hindu and Buddhist cave sculptures,https://whc.unesco.org/en/list/244/
33,Chhatrapati Shivaji Terminus,Maharashtra,1888,Frederick William Stevens,Victorian Gothic and Indian architectural fusion,https://whc.unesco.org/en/list/945/
34,Group of Monuments at Pattadakal,Karnataka,Bagalkot district,7th and 8th centuries,Chalukya dynasty,Religious and artistic significance,[Link]
35,Nanda Devi and Valley of Flowers National Parks,Uttarakhand,1988,Government of India,Unique high-altitude biodiversity conservation,https://uttarakhandtourism.gov.in/destination/nanda-devi-national-park
36,Hill Forts of Rajasthan,Rajasthan,Various,Various Rajput rulers,Defensive structures and cultural heritage,https://whc.unesco.org/en/list/247/
37,Dholavira,Gujarat,2650 BCE - 2100 BCE,Harappan civilization,Harappan archaeological site,https://whc.unesco.org/en/list/1645/
38,The Architectural Work of Le Corbusier,Chandigarh,Chandigarh,1950s,Le Corbusier,Modernist architectural design and urban planning,https://whc.unesco.org/en/list/1321/
39,The Historic City of Ahmedabad,Gujarat,15th century,Ahmed Shah I,Economic and cultural significance,https://whc.unesco.org/en/list/1551/
40,Kakatiya Rudreshwara (Ramappa) Temple,Telangana,Warangal district,1213-1214,Recharla Rudra,Devotional and cultural significance,https://whc.unesco.org/en/list/1570/
41,Victorian Gothic and Art Deco Ensembles of Mumbai,Maharashtra,19th - 20th centuries,British colonial authorities,Architectural ensembles representing colonial history,https://whc.unesco.org/en/list/1480/
